,ts_code,trade_time,close,open,high,low,vol,amount
155,600000.SH,2025-03-21 10:55:00,10.61,10.61,10.62,10.61,203200.0,2157066.0
156,600000.SH,2025-03-21 10:54:00,10.61,10.62,10.62,10.61,124100.0,1317341.0
157,600000.SH,2025-03-21 10:53:00,10.62,10.62,10.63,10.61,70100.0,744432.0
158,600000.SH,2025-03-21 10:52:00,10.62,10.62,10.62,10.62,112700.0,1196894.0
159,600000.SH,2025-03-21 10:51:00,10.62,10.62,10.63,10.62,69149.0,734617.0
160,600000.SH,2025-03-21 10:50:00,10.63,10.63,10.63,10.62,51100.0,542942.0
161,600000.SH,2025-03-21 10:49:00,10.63,10.63,10.63,10.62,221700.0,2355841.0
162,600000.SH,2025-03-21 10:48:00,10.62,10.62,10.63,10.62,17200.0,182744.0
163,600000.SH,2025-03-21 10:47:00,10.63,10.63,10.63,10.62,49400.0,524806.0
164,600000.SH,2025-03-21 10:46:00,10.62,10.63,10.64,10.62,260700.0,2770620.0
165,600000.SH,2025-03-21 10:45:00,10.63,10.63,10.64,10.62,180300.0,1917330.0
166,600000.SH,2025-03-21 10:44:00,10.63,10.63,10.63,10.62,45300.0,481297.0
167,600000.SH,2025-03-21 10:43:00,10.63,10.63,10.64,10.62,75100.0,798276.0
168,600000.SH,2025-03-21 10:42:00,10.63,10.63,10.64,10.62,150900.0,1603993.0
169,600000.SH,2025-03-21 10:41:00,10.63,10.63,10.64,10.62,79300.0,843007.0
170,600000.SH,2025-03-21 10:40:00,10.63,10.65,10.65,10.63,90200.0,959735.0
171,600000.SH,2025-03-21 10:39:00,10.64,10.64,10.65,10.64,38500.0,409687.0
172,600000.SH,2025-03-21 10:38:00,10.64,10.65,10.66,10.63,467700.0,4975912.0
173,600000.SH,2025-03-21 10:37:00,10.66,10.65,10.67,10.65,117900.0,1256659.0
174,600000.SH,2025-03-21 10:36:00,10.65,10.65,10.66,10.64,87500.0,931834.0
175,600000.SH,2025-03-21 10:35:00,10.65,10.64,10.66,10.64,1162800.0,12371503.0
176,600000.SH,2025-03-21 10:34:00,10.65,10.65,10.66,10.64,370500.0,3945797.0
177,600000.SH,2025-03-21 10:33:00,10.66,10.67,10.67,10.66,127100.0,1355303.0
178,600000.SH,2025-03-21 10:32:00,10.67,10.68,10.68,10.67,47800.0,510363.0
179,600000.SH,2025-03-21 10:31:00,10.67,10.67,10.68,10.67,67100.0,716345.0
180,600000.SH,2025-03-21 10:30:00,10.67,10.67,10.68,10.67,55000.0,587070.0
181,600000.SH,2025-03-21 10:29:00,10.69,10.69,10.69,10.68,147500.0,1576108.0
182,600000.SH,2025-03-21 10:28:00,10.69,10.69,10.69,10.68,52800.0,564292.0
183,600000.SH,2025-03-21 10:27:00,10.68,10.68,10.69,10.68,31000.0,331167.0
184,600000.SH,2025-03-21 10:26:00,10.68,10.67,10.69,10.67,44600.0,476383.0
185,600000.SH,2025-03-21 10:25:00,10.68,10.68,10.69,10.66,112600.0,1202142.0
186,600000.SH,2025-03-21 10:24:00,10.67,10.66,10.68,10.66,57800.0,616576.0
187,600000.SH,2025-03-21 10:23:00,10.66,10.67,10.68,10.66,157400.0,1679109.0
188,600000.SH,2025-03-21 10:22:00,10.67,10.68,10.68,10.66,56900.0,606899.0
189,600000.SH,2025-03-21 10:21:00,10.66,10.67,10.67,10.66,142000.0,1514893.0
190,600000.SH,2025-03-21 10:20:00,10.67,10.68,10.68,10.66,78700.0,839810.0
191,600000.SH,2025-03-21 10:19:00,10.67,10.67,10.68,10.67,93700.0,999959.0
192,600000.SH,2025-03-21 10:18:00,10.67,10.67,10.68,10.67,66443.0,709178.0
193,600000.SH,2025-03-21 10:17:00,10.67,10.66,10.68,10.66,137261.0,1464668.0
194,600000.SH,2025-03-21 10:16:00,10.66,10.67,10.67,10.66,8200.0,87433.0
195,600000.SH,2025-03-21 10:15:00,10.67,10.66,10.67,10.66,220400.0,2350227.0
196,600000.SH,2025-03-21 10:14:00,10.67,10.67,10.67,10.66,236600.0,2522684.0
197,600000.SH,2025-03-21 10:13:00,10.67,10.67,10.68,10.66,268735.0,2867081.0
198,600000.SH,2025-03-21 10:12:00,10.67,10.67,10.68,10.67,64365.0,686961.0
199,600000.SH,2025-03-21 10:11:00,10.68,10.69,10.7,10.68,266820.0,2850817.0
200,600000.SH,2025-03-21 10:10:00,10.7,10.68,10.7,10.68,131500.0,1406444.0
201,600000.SH,2025-03-21 10:09:00,10.69,10.69,10.7,10.68,119700.0,1279900.0
202,600000.SH,2025-03-21 10:08:00,10.69,10.69,10.7,10.68,110100.0,1177119.0
203,600000.SH,2025-03-21 10:07:00,10.7,10.69,10.7,10.69,19500.0,208499.0
204,600000.SH,2025-03-21 10:06:00,10.7,10.71,10.71,10.69,53300.0,570391.0
205,600000.SH,2025-03-21 10:05:00,10.69,10.71,10.71,10.69,120300.0,1287528.0
206,600000.SH,2025-03-21 10:04:00,10.7,10.7,10.71,10.69,208800.0,2234636.0
207,600000.SH,2025-03-21 10:03:00,10.71,10.7,10.71,10.7,150200.0,1607761.0
208,600000.SH,2025-03-21 10:02:00,10.71,10.7,10.72,10.7,433500.0,4641812.0
209,600000.SH,2025-03-21 10:01:00,10.71,10.7,10.71,10.7,305610.0,3271302.0
210,600000.SH,2025-03-21 10:00:00,10.7,10.71,10.71,10.69,281700.0,3014549.0
211,600000.SH,2025-03-21 09:59:00,10.71,10.7,10.71,10.7,128400.0,1373995.0
212,600000.SH,2025-03-21 09:58:00,10.7,10.69,10.71,10.69,757140.0,8101311.0
213,600000.SH,2025-03-21 09:57:00,10.69,10.69,10.7,10.69,226100.0,2417628.0
214,600000.SH,2025-03-21 09:56:00,10.69,10.69,10.7,10.68,615520.0,6578254.0
215,600000.SH,2025-03-21 09:55:00,10.68,10.68,10.69,10.67,473060.0,5052751.0
216,600000.SH,2025-03-21 09:54:00,10.67,10.67,10.67,10.66,177054.0,1888921.0
217,600000.SH,2025-03-21 09:53:00,10.66,10.67,10.67,10.66,133097.0,1419422.0
218,600000.SH,2025-03-21 09:52:00,10.66,10.67,10.67,10.64,491700.0,5240830.0
219,600000.SH,2025-03-21 09:51:00,10.67,10.67,10.67,10.66,165100.0,1760999.0
220,600000.SH,2025-03-21 09:50:00,10.66,10.66,10.67,10.64,584100.0,6225873.0
221,600000.SH,2025-03-21 09:49:00,10.67,10.66,10.67,10.66,170200.0,1815451.0
222,600000.SH,2025-03-21 09:48:00,10.66,10.67,10.67,10.65,478800.0,5103845.0
223,600000.SH,2025-03-21 09:47:00,10.66,10.67,10.67,10.66,299000.0,3189917.0
224,600000.SH,2025-03-21 09:46:00,10.66,10.68,10.68,10.66,348100.0,3714119.0
225,600000.SH,2025-03-21 09:45:00,10.68,10.67,10.7,10.67,868600.0,9280680.0
226,600000.SH,2025-03-21 09:44:00,10.67,10.66,10.69,10.66,1043837.0,11139084.0
227,600000.SH,2025-03-21 09:43:00,10.66,10.66,10.68,10.66,429200.0,4580238.0
228,600000.SH,2025-03-21 09:42:00,10.66,10.66,10.67,10.65,223300.0,2380704.0
229,600000.SH,2025-03-21 09:41:00,10.66,10.64,10.66,10.63,420643.0,4480716.0
230,600000.SH,2025-03-21 09:40:00,10.64,10.64,10.65,10.63,604100.0,6429133.0
231,600000.SH,2025-03-21 09:39:00,10.65,10.65,10.65,10.64,505900.0,5387896.0
232,600000.SH,2025-03-21 09:38:00,10.64,10.67,10.67,10.64,417200.0,4443302.0
233,600000.SH,2025-03-21 09:37:00,10.67,10.65,10.67,10.64,259500.0,2764235.0
234,600000.SH,2025-03-21 09:36:00,10.64,10.66,10.66,10.63,109400.0,1164452.0
235,600000.SH,2025-03-21 09:35:00,10.64,10.64,10.66,10.62,137600.0,1463897.0
236,600000.SH,2025-03-21 09:34:00,10.64,10.65,10.65,10.62,133700.0,1422218.0
237,600000.SH,2025-03-21 09:33:00,10.64,10.64,10.66,10.63,146000.0,1554048.0
238,600000.SH,2025-03-21 09:32:00,10.63,10.66,10.66,10.63,294000.0,3131448.0
239,600000.SH,2025-03-21 09:31:00,10.65,10.64,10.68,10.62,496100.0,5282928.0
240,600000.SH,2025-03-21 09:30:00,10.63,10.63,10.63,10.63,147100.0,1563673.0
